"","prog_r","media","des_padrao"
"1","Bastante confiante",0.0833333333333333,1.91666666666667
"2","Médio",0.333333333333333,7.66666666666667
"3","Nenhuma confiança",0.291666666666667,6.70833333333333
"4","Um pouco",0.291666666666667,6.70833333333333
